FlightDate,Airline,FlightNumber,OriginAirport,DestinationAirport,DepartureDelay,DelayReason,WeatherCondition
2024-06-03,Vistara,VI613,HYD,DEL,102,Weather,Fog
2024-05-09,SpiceJet,SP140,BLR,CCU,127,Weather,Clear
2024-05-13,GoAir,GO262,LKO,HYD,114,Security,Clear
2024-03-27,GoAir,GO153,LKO,DEL,157,Weather,Snow
2024-03-13,Air India,AI841,HYD,BLR,51,Weather,Thunderstorm
2024-03-20,Vistara,VI232,BOM,BLR,179,Technical,Clear
2024-02-02,GoAir,GO195,CCU,MAA,107,Weather,Thunderstorm
2024-02-16,SpiceJet,SP449,PNQ,BOM,50,Weather,Heavy Rain
2024-01-20,Air India,AI964,BOM,LKO,149,Crew,Clear
2024-06-18,Air India,AI997,HYD,LKO,56,Weather,Heavy Rain
2024-06-26,GoAir,GO928,HYD,CCU,120,Weather,Thunderstorm
2024-06-22,SpiceJet,SP554,MAA,PNQ,129,Crew,Clear
2024-05-16,SpiceJet,SP416,PNQ,CCU,161,Weather,Snow
2024-04-28,Air India,AI896,CCU,MAA,56,Technical,Clear
2024-06-03,SpiceJet,SP993,MAA,DEL,110,Technical,Clear
2024-05-12,Indigo,IN391,BOM,PNQ,130,Weather,Clear
2024-02-07,Vistara,VI193,BLR,PNQ,104,Weather,Fog
2024-04-16,Indigo,IN505,LKO,BOM,35,Weather,Thunderstorm
2024-02-27,Indigo,IN426,BOM,PNQ,100,Crew,Clear
2024-02-05,Indigo,IN393,PNQ,LKO,135,ATC,Clear
2024-06-06,Indigo,IN181,DEL,BLR,53,Weather,Clear
2024-06-04,GoAir,GO533,BOM,PNQ,92,Weather,Fog
2024-01-13,SpiceJet,SP529,PNQ,DEL,142,Weather,Clear
2024-05-17,Indigo,IN747,BLR,CCU,124,Weather,Fog
2024-06-06,Air India,AI346,CCU,BOM,36,Technical,Clear
2024-01-18,GoAir,GO657,DEL,MAA,26,ATC,Clear
2024-04-05,Air India,AI865,DEL,BLR,103,Crew,Clear
2024-06-17,Indigo,IN890,LKO,BOM,154,Weather,Thunderstorm
2024-06-13,SpiceJet,SP950,PNQ,LKO,61,Weather,Heavy Rain
2024-01-17,Vistara,VI137,MAA,BOM,66,Weather,Fog
2024-03-21,Air India,AI627,CCU,PNQ,79,Technical,Clear
2024-06-14,SpiceJet,SP392,LKO,PNQ,99,Crew,Clear
2024-02-01,Air India,AI547,CCU,LKO,113,Weather,Thunderstorm
2024-02-17,Vistara,VI808,PNQ,HYD,147,Security,Clear
2024-01-22,Vistara,VI180,CCU,MAA,61,Security,Clear
2024-03-23,Indigo,IN181,LKO,CCU,129,Weather,Clear
2024-04-19,SpiceJet,SP806,PNQ,HYD,105,Weather,Clear
2024-04-21,Air India,AI754,DEL,BOM,118,Technical,Clear
2024-05-11,SpiceJet,SP131,HYD,PNQ,127,Technical,Clear
2024-02-02,Indigo,IN341,LKO,HYD,160,Weather,Fog
2024-06-03,SpiceJet,SP795,PNQ,HYD,34,Weather,Clear
2024-02-05,GoAir,GO475,CCU,HYD,78,Technical,Clear
2024-01-07,SpiceJet,SP611,CCU,MAA,81,Weather,Snow
2024-02-24,GoAir,GO392,PNQ,BOM,33,Weather,Snow
2024-02-14,Vistara,VI189,LKO,CCU,31,Weather,Clear
2024-05-18,Air India,AI407,HYD,CCU,178,Crew,Clear
2024-04-02,GoAir,GO329,BOM,HYD,75,Crew,Clear
2024-01-07,Air India,AI667,LKO,BLR,156,ATC,Clear
2024-06-05,Indigo,IN167,MAA,BLR,137,Security,Clear
2024-04-14,GoAir,GO175,HYD,BLR,130,Technical,Clear
2024-06-23,GoAir,GO452,HYD,PNQ,178,Crew,Clear
2024-02-03,Vistara,VI614,DEL,PNQ,54,Weather,Thunderstorm
2024-02-12,SpiceJet,SP430,BLR,HYD,147,Security,Clear
2024-01-21,Air India,AI301,MAA,BOM,172,Technical,Clear
2024-05-08,SpiceJet,SP706,HYD,BOM,169,Technical,Clear
2024-05-24,Indigo,IN945,DEL,BOM,179,Weather,Clear
2024-03-08,SpiceJet,SP885,CCU,MAA,142,Technical,Clear
2024-06-13,Air India,AI594,BLR,PNQ,118,ATC,Clear
2024-04-26,Indigo,IN805,DEL,HYD,138,Weather,Snow
2024-02-22,Air India,AI721,HYD,BLR,96,ATC,Clear
2024-04-12,SpiceJet,SP878,LKO,MAA,96,Technical,Clear
2024-04-29,Indigo,IN373,PNQ,BOM,27,Weather,Thunderstorm
2024-04-08,GoAir,GO528,BLR,PNQ,98,Security,Clear
2024-02-18,SpiceJet,SP610,PNQ,BLR,142,ATC,Clear
2024-01-24,Vistara,VI617,PNQ,BOM,105,Weather,Fog
2024-01-13,Air India,AI606,PNQ,HYD,42,Technical,Clear
2024-02-04,Air India,AI844,LKO,PNQ,26,Weather,Snow
2024-01-14,GoAir,GO675,BLR,HYD,33,Technical,Clear
2024-05-09,Vistara,VI882,MAA,PNQ,171,Security,Clear
2024-02-02,Indigo,IN503,LKO,PNQ,157,Security,Clear
2024-02-06,SpiceJet,SP716,CCU,MAA,24,Weather,Heavy Rain
2024-03-26,Vistara,VI631,PNQ,BOM,146,Technical,Clear
2024-03-24,GoAir,GO426,HYD,MAA,91,Security,Clear
2024-05-09,GoAir,GO645,PNQ,LKO,136,Technical,Clear
2024-04-04,Air India,AI789,BOM,MAA,176,Technical,Clear
2024-06-01,Vistara,VI371,BLR,CCU,137,Weather,Heavy Rain
2024-05-14,GoAir,GO893,CCU,BOM,77,ATC,Clear
2024-05-26,Indigo,IN295,DEL,MAA,53,Weather,Snow
2024-06-25,SpiceJet,SP520,PNQ,CCU,30,ATC,Clear
2024-05-12,SpiceJet,SP674,LKO,CCU,111,Weather,Thunderstorm
2024-02-14,Vistara,VI645,LKO,MAA,179,Weather,Thunderstorm
2024-06-05,Vistara,VI296,BLR,HYD,72,Technical,Clear
2024-03-14,SpiceJet,SP806,PNQ,HYD,158,Weather,Thunderstorm
2024-03-14,Indigo,IN687,CCU,BLR,52,ATC,Clear
2024-01-11,Air India,AI831,BOM,BLR,80,Security,Clear
2024-02-24,SpiceJet,SP947,MAA,LKO,50,Technical,Clear
2024-06-06,GoAir,GO345,BLR,DEL,150,Technical,Clear
2024-06-12,SpiceJet,SP153,BOM,MAA,135,Weather,Fog
2024-06-23,SpiceJet,SP105,HYD,MAA,136,Technical,Clear
2024-06-15,SpiceJet,SP874,MAA,HYD,30,Weather,Fog
2024-06-15,GoAir,GO337,DEL,HYD,60,Weather,Fog
2024-04-11,Vistara,VI290,MAA,DEL,160,Weather,Clear
2024-01-28,Air India,AI391,PNQ,LKO,141,Technical,Clear
2024-05-09,Vistara,VI379,BLR,PNQ,56,Weather,Snow
2024-06-14,Air India,AI835,HYD,DEL,90,Crew,Clear
2024-02-14,GoAir,GO976,CCU,PNQ,98,Weather,Fog
2024-04-12,Indigo,IN289,HYD,MAA,78,Weather,Fog
2024-03-07,Vistara,VI341,PNQ,CCU,99,Weather,Thunderstorm
2024-05-29,GoAir,GO111,MAA,CCU,75,Weather,Fog
2024-06-19,Indigo,IN576,MAA,BOM,143,Weather,Thunderstorm
2024-06-25,Indigo,IN754,MAA,HYD,71,Technical,Clear
2024-05-02,SpiceJet,SP565,LKO,BLR,135,Crew,Clear
2024-03-04,GoAir,GO994,BOM,LKO,107,Weather,Fog
2024-05-24,Indigo,IN163,BLR,LKO,57,Technical,Clear
2024-05-13,Vistara,VI219,BLR,CCU,38,Technical,Clear
2024-01-15,Vistara,VI235,CCU,BLR,158,Technical,Clear
2024-06-21,Air India,AI840,DEL,MAA,15,Weather,Heavy Rain
2024-05-28,Indigo,IN146,CCU,HYD,153,Crew,Clear
2024-01-18,Vistara,VI132,MAA,BLR,49,Weather,Snow
2024-04-05,Vistara,VI559,CCU,BLR,153,Weather,Heavy Rain
2024-06-16,Air India,AI221,HYD,LKO,47,Weather,Heavy Rain
